se-name,  Kxx,  Kyy,  Kzz,  Omegaxx,  Omegayy,  Omegazz,  PIxx,  PIyy,  PIzz,  lam1,  lam2,  e1,  e2,  nelems,  nnodes,  time, 
se1066, 19.2531, 20.0859, 24.3128, 325.2892, 436.4284, 481.7214, 257.1965, -373.484, 105.8269,  5.0,  4.0,  0.4,  1.0,  2350,  1651,  35.0, 
se1067, 18.6495, 19.5163, 23.4671, 292.4981, 395.0988, 437.6695, 227.3708, -335.7062, 101.47,  5.0,  4.0,  0.4,  1.2,  2574,  1751,  43.0, 
se1068, 18.06, 18.9654, 22.6207, 262.2795, 356.9718, 399.4979, 200.1818, -300.2423, 97.7681,  5.0,  4.0,  0.4,  1.4,  2630,  1723,  44.0, 
se1069, 17.5072, 18.4503, 21.8011, 235.7737, 322.4048, 367.6363, 176.3182, -268.0706, 94.0667,  5.0,  4.0,  0.4,  1.6,  2694,  1723,  46.0, 
se1070, 16.9701, 17.9406, 20.9911, 211.4982, 290.7214, 338.8616, 154.9619, -239.2287, 89.7576,  5.0,  4.0,  0.4,  1.8,  2142,  1407,  28.0, 
se1071, 21.0397, 21.8071, 27.0164, 444.1648, 600.0956, 683.6062, 382.0746, -542.9941, 130.572,  5.0,  4.0,  0.6,  0.2,  3070,  2167,  69.0, 
se1072, 20.5197, 21.2867, 26.3703, 411.5336, 555.107, 619.5072, 351.2917, -499.6008, 121.8684,  5.0,  4.0,  0.6,  0.4,  3302,  2267,  79.0, 
se1073, 19.9225, 20.702, 25.5863, 374.3426, 506.3233, 557.2624, 316.0597, -452.4598, 114.3332,  5.0,  4.0,  0.6,  0.6,  3158,  2159,  69.0, 
se1074, 19.3077, 20.101, 24.747, 338.1386, 458.2342, 500.948, 282.2377, -406.6805, 107.2156,  5.0,  4.0,  0.6,  0.8,  2998,  2015,  60.0, 
se1075, 18.6849, 19.4939, 23.8726, 303.6703, 412.2013, 450.5193, 249.9995, -362.7776, 99.8838,  5.0,  4.0,  0.6,  1.0,  2486,  1655,  37.0, 
se1076, 18.1051, 18.9421, 23.0457, 273.5111, 372.6219, 409.4952, 221.7903, -325.3654, 94.8351,  5.0,  4.0,  0.6,  1.2,  2846,  1823,  50.0, 
se1077, 17.5258, 18.3957, 22.1983, 244.8228, 335.6063, 373.0589, 195.2112, -290.2742, 90.6519,  5.0,  4.0,  0.6,  1.4,  2766,  1787,  49.0, 
se1078, 16.9774, 17.8782, 21.3771, 219.4527, 302.2993, 342.2905, 171.9815, -259.0604, 86.6544,  5.0,  4.0,  0.6,  1.6,  2654,  1679,  44.0, 
se1079, 16.4457, 17.3658, 20.5591, 196.1057, 271.6279, 314.2132, 150.7367, -230.3256, 82.3802,  5.0,  4.0,  0.6,  1.8,  2382,  1459,  34.0, 
se1080, 20.4556, 21.2036, 26.642, 423.9539, 572.9369, 641.8364, 375.271, -529.4598, 120.6419,  5.0,  4.0,  0.8,  0.2,  2966,  2055,  64.0, 
se1081, 19.9453, 20.6884, 25.9915, 391.9524, 529.0357, 581.3123, 344.8558, -486.187, 112.7538,  5.0,  4.0,  0.8,  0.4,  3126,  2115,  69.0, 
se1082, 19.368, 20.1204, 25.2222, 356.4978, 482.5759, 523.375, 311.0185, -441.3556, 105.8891,  5.0,  4.0,  0.8,  0.6,  3134,  2075,  69.0, 
se1083, 18.762, 19.5295, 24.385, 320.9934, 436.5738, 470.1559, 277.2047, -396.6988, 99.1935,  5.0,  4.0,  0.8,  0.8,  3062,  1971,  65.0, 
se1084, 18.1436, 18.9216, 23.4983, 287.1997, 391.4735, 421.7868, 245.0995, -352.8477, 92.5011,  5.0,  4.0,  0.8,  1.0,  2510,  1639,  37.0, 
se1085, 17.5714, 18.3797, 22.6793, 257.8437, 354.1293, 383.2352, 217.3593, -317.5325, 87.6602,  5.0,  4.0,  0.8,  1.2,  2950,  1859,  56.0, 
se1086, 17.0029, 17.8373, 21.8379, 230.5047, 318.3506, 348.618, 191.6232, -282.9759, 83.9805,  5.0,  4.0,  0.8,  1.4,  3014,  1827,  54.0, 
se1087, 16.4591, 17.3244, 21.0091, 205.8866, 285.9572, 319.1219, 168.5163, -252.135, 80.5072,  5.0,  4.0,  0.8,  1.6,  2838,  1719,  47.0, 
se1088, 15.9283, 16.806, 20.1841, 183.451, 255.9319, 291.8139, 147.6765, -223.6258, 75.7083,  5.0,  4.0,  0.8,  1.8,  2414,  1455,  32.0, 
se1089, 19.9489, 20.6822, 26.4059, 409.7347, 557.0958, 607.9936, 372.1401, -523.8548, 115.2001,  5.0,  4.0,  1.0,  0.2,  3838,  2663,  115.0, 
se1090, 19.4457, 20.1784, 25.7587, 378.1414, 514.6441, 551.0868, 341.8157, -482.3392, 107.2461,  5.0,  4.0,  1.0,  0.4,  4014,  2679,  124.0, 
se1091, 18.8805, 19.6176, 24.9906, 343.7466, 468.8689, 496.2563, 308.5895, -437.4606, 100.8512,  5.0,  4.0,  1.0,  0.6,  4134,  2699,  130.0, 
se1092, 18.2879, 19.0334, 24.1573, 309.5807, 423.5031, 445.8919, 275.7948, -393.235, 94.1266,  5.0,  4.0,  1.0,  0.8,  4270,  2667,  138.0, 
se1093, 17.6413, 18.3878, 23.2002, 274.4607, 375.4402, 396.5434, 241.8246, -346.025, 86.1734,  5.0,  4.0,  1.0,  1.0,  2470,  1619,  37.0, 
se1094, 17.102, 17.8792, 22.4307, 247.3327, 341.4753, 361.8006, 215.979, -313.2744, 82.8945,  5.0,  4.0,  1.0,  1.2,  4374,  2599,  136.0, 
se1095, 16.5336, 17.3371, 21.5802, 220.3078, 306.3381, 328.3078, 190.182, -279.2962, 79.0457,  5.0,  4.0,  1.0,  1.4,  4366,  2563,  128.0, 
se1096, 15.9947, 16.8266, 20.7517, 196.2375, 274.916, 299.9842, 167.1763, -248.8615, 75.4939,  5.0,  4.0,  1.0,  1.6,  4334,  2507,  124.0, 
se1097, 15.4848, 16.351, 19.9501, 174.891, 247.1329, 276.4085, 146.8692, -221.9885, 72.8314,  5.0,  4.0,  1.0,  1.8,  3510,  2035,  83.0, 
se1098, 19.4613, 20.1776, 26.2016, 397.9912, 543.9595, 577.0937, 369.393, -519.1682, 110.102,  5.0,  4.0,  1.2,  0.2,  3966,  2767,  127.0, 
